"time","billboard","tree","lake","house","sign","type","tree_PC1","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","Type","Slope"
22.5,0,-0.290496407546666,0,0,0,"flat0",-0.293524567035977,-0.664281345623502,-0.397515375537125,-0.535480225354641,0.397689953991809,-0.387493998303999,-0.545131822228233,-0.286977764796705,-0.372158973316634,0.039355684053999,"flatagr",NA
23,0,-0.290496407546666,0,0,0,"flat0",-0.269099342484764,-0.332911167780794,-0.384429630412864,-0.475210981345388,0.356813178359938,-0.414036146344002,-0.453608526525237,-0.216660716172604,-0.307814466362296,0.0590354356367263,"flatagr",NA
23.5,0,-0.284330937276839,0,0,0,"flat0",-0.282706239336241,-0.790827509836553,-0.384751234788941,-0.475054390059651,0.366662677369743,-0.404844360022859,-0.499634038474173,-0.231148226198698,-0.576999544606269,0.0622704630072178,"flatagr",NA
24,0,-0.281248202141926,0,0,0,"flat0",-0.289037853038773,-0.476446699618612,-0.379556804144777,-0.422532880727599,0.351700421967593,-0.419400502655521,-0.380021895678062,-0.19242387689509,-0.496155769496748,0.0779064301274627,"flatagr",NA
24.5,0,-0.278165467007012,0,0,0,"flat0",-0.292033772549993,-0.38451412935791,-0.371295923819598,-0.363906687539815,0.386961551751489,-0.419160343673803,-0.320766076282953,-0.273149582535168,-0.340881383585595,0.0649663196480279,"flatagr",NA
25,0,-0.275082731872099,0,0,0,"flat0",-0.283881440638406,-0.285595369679164,-0.388767989011228,-0.381008344786553,0.370230509012564,-0.373618502531662,-0.331176626654241,-0.261143723855892,0.0441852383315354,0.0770976730354729,"flatagr",NA
25.5,0,-0.259669056197532,0,0,0,"flat0",-0.261257604392013,-0.416587373936639,-0.407164989568112,-0.326151736452724,0.320084271517671,-0.344678621233693,-0.212911785548669,-0.181003592671204,-0.160525667819146,0.0800631150411248,"flatagr",NA
26,0,-0.253503585927706,0,0,0,"flat0",-0.241211235051497,-0.0529852749462621,-0.39330688282907,-0.248526206798641,0.332839630796779,-0.365071314994647,-0.214064626553789,-0.209417443908488,-0.0541930616876118,0.108369607275964,"flatagr",NA
26.5,0,-0.241172645388052,0,0,0,"flat0",-0.256695211744889,0.0553014993822706,-0.376951763507431,-0.173070837387391,0.320152929064265,-0.4225603923715,-0.172883198929938,-0.193309292076474,-0.0297629446885245,0.114570076652107,"flatagr",NA
27,0,-0.241172645388052,0,0,0,"flat0",-0.267108305644854,-0.262889987323161,-0.372604501875357,-0.159704400214392,0.308023631312542,-0.454943406871856,-0.161224659891703,-0.185069035988747,-0.199415108112867,0.121848888485081,"flatagr",NA
27.5,0,-0.241172645388052,0,0,0,"flat0",-0.301485769246424,-0.402614842673489,-0.379639731226578,-0.114939521406902,0.287637884558751,-0.438746835916414,0.00309523637681434,-0.144649433349725,-0.374060584207411,0.14018071124867,"flatagr",NA
28,0,-0.241172645388052,0,0,0,"flat0",-0.287155416427539,-0.166194071453097,-0.372106175114821,-0.433643915942301,0.336891768874728,-0.453439460602766,-0.301386537824957,-0.245300011161468,0.0938703703539157,0.19005405361759,"flatagr",NA
28.5,0,-0.241172645388052,0,0,0,"flat0",-0.291687147906505,-0.327671487610495,-0.387164488969238,-0.554132380052017,0.380278010322354,-0.418987509606907,-0.448146657341162,-0.311172122168137,-0.0847268730808057,0.204342092916163,"flatagr",NA
29,0,-0.241172645388052,0,0,0,"flat0",-0.266011030516032,0.305059485881818,-0.384637359689155,-0.58782802194131,0.368660092170818,-0.433203360350039,-0.51732621973522,-0.295526014703508,0.178288172173896,0.21593427457646,"flatagr",NA
29.5,0,-0.241172645388052,0,0,0,"flat0",-0.403828121202336,-0.760659603501569,-0.337984985520948,-0.772857320985512,0.559520404577838,-0.582186320280101,-0.658627864065828,-0.512119530101474,-0.434774768476238,0.211351319384296,"flatagr",NA
30,0,-0.241172645388052,0,0,0,"flat0",-0.432060868654051,-0.840366304173925,-0.32735674699374,-0.760921409184701,0.616934270794143,-0.597287625550336,-0.674898885601314,-0.549059692988508,-0.880108769898116,0.180079385143806,"flatagr",NA
30.5,0,-0.244255380522966,0,0,0,"flat0",-0.423841941833043,-2.02961487383581,-0.318557794611201,-0.503143393684498,0.590958911747902,-0.643596718396383,-0.632998855936468,-0.497250219308365,-0.269929655402949,0.155277507639233,"flatagr",NA
