"time","billboard","tree","lake","house","sign","type","Edge","Hue","Sat","Lum","sdHue","sdSat","sdBright","Entropy","AvePref","scene_type","sky","slope"
12,0,-0.852788904796729,0,0,0,"flat0",-0.938039358854803,-0.734925508833541,-0.300886494260002,1.15255440444965,-0.920862614638361,-0.160214984756592,-1.3430697280529,-1.47981765404191,-0.887000177503314,"F",0.923900729026067,0.205089427059725
12.5,0,-0.852788904796729,0,0,0,"flat0",-1.01054137073169,-0.744085785729055,-0.275025703468936,1.13766001793595,-0.870879588863802,-0.106172803882067,-1.30909384821725,-1.58916698247208,-0.883226542907003,"F",0.916436840559315,0.205089427059725
13,0,-0.852788904796729,0,0,0,"flat0",-0.787134045019558,-0.742550567441701,-0.281860544982878,1.11755121669497,-0.881514596418736,-0.119508046577149,-1.27342416318077,-1.50316085948231,-0.893386329350025,"F",0.910712290321904,0.205089427059725
13.5,0,-0.824185734960873,0,0,0,"flat0",-0.871438738224932,-0.745472000666802,-0.275019194049101,1.09263695014832,-0.858519347074421,-0.0983214718545238,-1.20540137830431,-1.55598397312943,-0.868132002373692,"F",0.905045091835679,0.205089427059725
14,0,-0.821585446793977,0,0,0,"flat0",-0.835293096207764,-0.737574397132177,-0.203187548904444,1.08402916338655,-0.886491937060188,-0.0640381504794116,-1.19532674483696,-1.54487434873287,-0.829815091293424,"F",0.89792524605764,0.205089427059725
14.5,0,-0.821585446793977,0,0,0,"flat0",-0.814849258182409,-0.740309253884439,-0.190499654054694,1.09306287606216,-0.871024426926274,-0.0060038784183737,-1.22368350934914,-1.45273910998325,-0.812978872593178,"F",0.897179808929028,0.205089427059725
15,0,-0.821585446793977,0,0,0,"flat0",-0.891461019399629,-0.73104889789997,-0.188719031846846,1.11133615213166,-0.904411196205067,-0.0449696309663145,-1.25896990151477,-1.55130761955746,-0.7952718158835,"F",0.897189363786537,0.205089427059725
15.5,0,-0.821585446793977,0,0,0,"flat0",-0.895360142062957,-0.748985199555145,-0.133651263272542,1.09776226839159,-0.824717564577611,0.0422143043053544,-1.21056325670771,-1.47102635254853,-0.7839509099465,"F",0.895191984121437,0.205089427059725
16,0,-0.821585446793977,0,0,0,"flat0",-0.98219387287563,-0.752363843910765,-0.149929448358314,1.09847794707951,-0.820473969081084,0.0531123219206495,-1.21717429253336,-1.4624264880074,-0.774371683250467,"F",0.890231988263035,0.205089427059725
16.5,0,-0.821585446793977,0,0,0,"flat0",-0.758786648329046,-0.746839471762695,-0.167972771122932,1.08277780498855,-0.838204222424325,0.00649933096525793,-1.19780338401136,-1.48672938775736,-0.774661962586944,"F",0.876374573896462,0.205089427059725
